ei	ei
teadma	tia
kuidas	kuda
see	see
talu	talu
asi	asi
käima	keib
no	noo
jah	jaahh
muidugi	mudugi
no	no
rääkima	räägid
ju	ju
ikka	`ikke
rääkima	räägittasse
ikka	`ikke
laps	lastele
jah	jahh
Elts	El'ts
Elts	El'ts
olema	põle
ka	ka
tahtma	tahettud
vastu	`vasta
võtma	`võtta
et	et
tema	ta
olema	põle
ka	ka
üksi	üksi
olema	olnd
et	et
olema	olnd
juba	juba
ikka	`ikke
seda+moodi	seda+moodi
et	et
tema	ta
kahekesi	kaheksi
ka	ka
olema	`ol'li
juba	juba
ja	ja
aga	aga
siis	siss
panema	pand
Elts	El'ts
panema	pand
oma	oma
põlle+täis	põlle+täije
need	neid
rubla	rublasid
ka	ka
sõel	sõela
sisse	`sisse
sõel	sõel
saama	saand
täis	täis
päris	päris
no	no
vaat	vat
no	no
siis	siss
ikka	`ikke
jälle	`jälle
ju	ju
siis	siis
ikka	`ikke
võtma	`võetti
tema	teda
vastu	`vasta
ja	ja
jääma	jäi
ikka	`ikke
sinna	`sinna
ja	ja
olema	põlnd
siis	siss
olema	põle
see	seda
jutt	`juttu
kuulma	kuulda
olema	olnd
et	et
et	et
ära	ära
minema	läheb
mina	ma
ei	i
olema	ole
see	seda
kuulma	kuulnd
et	et
tema	teda
ära	ära
ajama	`aettud
olema	oo
aga	aga
muidu	muidu
ikka	ikke
siis	siss
ja	ja
nüüd	nüid
see	see
nimi	nime
ikka	`ikke
Rikas	`Rikka
Jaan	Jaani
talu	talu
olema	on
kaua	kauwa
aeg	`aega
mina	mina
ei	i
teadma	tia
kas	kas
tema	ta
siis	s
praegu	`praegu
ka	kaa
veel	veel
olema	oo
või	või
olema	põle
see	seda
mina	ma
ei	i
teadma	tia
mina	minu
ämm	ämma
jutt	jutt
ja	ja
mina	minu
ämm	ämm
ja	ja
noh	nohh
tema	ta
teadma	`tiadis
juba	juba
tema	ta
käima	keisid
naa+sama	naa+sama
küsima	küsimes
ka	kaa
ikka	`ikke
sealt	sealt
mõni	mõned
ja	ja
tema	ta
rääkima	`rääkkis
ka	kaa
ikka	ikke
mina	ma
kuulma	`kuulsin
ikka	ikke
kuidas	kudas
tema	ta
meel	`meele
tuletama	tulettas
ja	ja
vaatama	`vaatta
täpselt	`täpselt
muu	muud
asi	`as'ja
nüüd	nüid
ei	ei
teadma	tia
aga	aga
siis	siss
muist	muist
saama	saand
kätte	`kätte
ja	ja
mina	mina
ei	ei
teadma	tia
kas	kass
kaks	kaks
tükk	`tükki
või	või
mis	miss
kaduma	kaduma
olema	oo
jääma	jäänd
no	no
siis	siis
panema	`pan'tti
ka	kaa
valitsus	valitsus
otsima	`ot'sima
need	neid
ja	ja
panema	`panttud
see	sell
aeg	aal
aga	aga
nemad	nad
suur	suuremalt
osa	osalt
ikka	`ikke
olema	ol'lid
kaduma	kadund
olema	olnd
juba	juba
muist	muist
saama	saand
ikka	ikke
kätte	`kätte
aga	aga
muist	muist
siis	siss
ikka	ikke
kaduma	kadund
ära	ära
no	noo
aga	aga
kes	kiss
siis	siss
teadma	tiab
mis	miss
nemad	nendega
siis	s
tegema	`tehti
või	või
kes	kiss
see	seda
olema	põle
mina	mina
teadma	tiand
see	seda
ju	ju
nemad	nad
ikka	ikke
siis	siss
siuke	siuksed
siuke	siuksed
