siis	sis
kuulma	*kuulsin
ja	ja
laps	laps
olema	oli
surema	*surnud
et	ett
et	et
olema	oli
laps	*lapse
kelder	*keldri
panema	pand
ja	ja
ütlema	üeld
et	et
koll	*kollid
tulema	tulevad
laps	laps
hakkama	*akkas
kartma	*karttama
ja	ja
ja	ja
laps	laps
jääma	jäi
haige	*aigest
hommik	*ommikku
kui	kui
minema	*läksin
kodunt	kodunt
ära	ära
siis	siis
laps	laps
jääma	jäi
voodi	*vuodi
magama	magama
olema	õli
terve	*terve
ja	ja
ja	ja
tulema	tulin
õhtu	*õhta
kodu	kodu
siis	ss
olema	õlid
neljas	*neljäss
kord	kõrd
jo	jo
kramp	*krambid
peal	pial
ah	ahh
roos	*ruosiga
noh	nohh
roos	*ruosil
olema	onn
ju	jo
eh	eh
roos	*ruosil
olema	onn
ju	joo
eh	eh
olema	onn
need	neid
kes	kes
roos	*ruosi
sõna	sõnu
teadma	tiab
aga	a
ja	ja
olema	onn
need	neit
kes	kess
arstima	*arstib
muu	muu
asi	*asjaga
olema	onn
sinine	siinine
paber	paaber
vaat	vaat
enne+tsaari+aegne	*enne+*saari+*aegane
raha	raha
kümme	*kümme
rublane	*ruplane
raha	raha
see	se
olema	oli
ka	kaa
roos	*ruosi
vastu	*vasta
seal	säll
olema	õli
mitme+sugune	*mitme+sugust
värv	*värvi
ja	ja
ja	ja
siis	siis
see	sie
olema	oli
ka	ka
roos	*ruosi
vastu	*vastu
jah	jahh
panema	panitte
panema	pani
saama	sai
panema	*panna
peale	*piale
ja	ja
siis	sis
see	sie
võtma	*võttas
välja	*välja
aga	aga
Jõhvi	Jõhvis
olema	õli
üks	üks
vana+mees	vana+mes
üks	üks
Rebane	Rebane
vat	vat
see	sie
teadma	tias
sõna	sõnu
mina	ma
ise	ise
ehmatama	*ehmattasin
hobune	obune
pidama	pidi
peale	*piale
jooksma	*juoksema
ehmatama	*ehmattasin
ja	ja
minema	*läksin
kodu	kodu
ja	ja
ajama	aeas
kõik	kõik
pale	pale
nõnda	*ninda
et	t
hirmus	*irmuss
kohe	kõhe
paiste	*paiste
ja	ja
mees	mies
minema	läks
õhtu	*õhta
sinna	*sinne
ja	ja
hakkama	akkass
sealt	sält
pere+naine	pere+nane
küsima	küsis
et	ett
et	et
miks	miks
mina	mina
sinna	*sinne
ei	ei
minema	mend
siis	sis
mees	mies
ütlema	üts
et	et
et	t
see	sie
olema	on
haige	*aige
et	t
see	sie
pääsema	*pääsi
kuhugi	kuhugi
et	ett
mis	miss
tema	tal
viga	viga
olema	onn
tema	tämä
vana	vana
Rebane	Rebane
ütlema	üeld
et	et
miks	miks
tema	ta
siia	*siije
ei	ei
tulema	*tulnud
siis	sis
noh	nohh
mees	mies
olema	õli
ütlema	üeld
et	et
tema	ta
olema	n
valu	valus
koledasti	koledast
kuhu	kuhu
tulema	tuleb
minema	mene
kodu	kodu
kohe	kõhe
ja	ja
käskima	käsi
tema	tämä
siia	*siije
tulema	*tulla
mina	mina
minema	*läksin
sinna	*sinne
ja	ja
mina	mina
mõtlema	*mõtsin
et	t
see	se
vana+mees	vana+mes
olema	on
rumal	rumal
tema	tämä
tulema	tuli
mina	*mulle
vastu	*vastu
ja	jaa
puhuma	*puhkus
kohe	kõhe
mina	mina
mõtlema	*mõtsin
et	et
loll	lol'l
vana+mees	vana+mes
las	las
tema	ta
tegema	tieb
oma	oma
temp	*temppe
ja	jaa
tema	ta
ütlema	*ütleb
et	ett
mis	miss
sina	sa
siia	*siije
tulema	tulid
kas	kass
sina	sul
mujal	mujal
ei	eij
olema	old
ruum	*ruumi
minema	*minna
kui	kui
tulema	tulid
noor	*nuore
inimene	inimese
