mh	mh
need	nende
auk	`aukkusi
kada	kada
edasi	edesi
alla	`alla
nii	nii
üks	üks
umbes	`umbes
viis	viis
auk	augu
vahe	vahet
või	või
täis	täit
see	se
olema	`ol'li
mutt	mut'ti
pikkus	`pikkus
ajama	`aet'ti
see	see
sisse	`sisse
ja	ja
see	se
nöör	nöör
mis	mis
see	selle
ö	ö
udi	ud'jal
taga	taga
olema	`ol'li
mis	miss
sisse	`sisse
ajama	`aet'ti
see	see
võtma	`võet'ti
udi	ud'ja
küljest	kül'lest
lahti	`lahti
ja	ja
teine	teine
olema	`ol'li
ots	ots
olema	`ol'li
mutt	mut'ti
mees	mihe
käes	käe
ja	ja
siis	siss
see	see
kes	kiss
udi	ud'ja
ots	otsast
lahti	`lahti
võtma	`võt'tis
see	see
hakkama	`akkas
vedama	vidama
ja	ja
muti+mees	mut'ti+mes
laskma	`las'sis
järgi	`järgi
mutt	`mut'ti
jälle	jälle
kes	kellel
olema	lid
mutt	mut'tid
mutt	mut'tid
olema	`ol'lid
mutt	`mut'ti
nöör	nööriga
tõmbama	tõmmatti
alla	alla
suur	suure
pikk	pikka
nöör	nööriga
suur	suure
pikk	pikka
puu+udi	puu+ud'jaga
ajama	`aet'ti
nöör	nöör
alla	`alla
ja	ja
siis	s
see	selle
nöör	nööriga
tõmbama	tõmmatti
siis	siss
jälle	jälle
nõudma	`nõudmas
käima	`käit'ti
täna	täna
ajama	`aet'ti
homme	oome
minema	`lähti
vaatama	`vaattama
ja	ja
kui	kui
kala	kala
olema	`ol'li
siis	siss
käima	`käit'ti
ära	ää
ka	ka
iga	iga
päev	päe
ja	ja
kui	kui
kala	kala
ei	ei
olema	olnud
siis	siis
minema	läks
mõni	mõni
päev	päe
vahe	vahet
kui	kui
jälle	`jälle
minema	`lähti
vaatama	`vaatma
kuidas	kudas
siin+samas	sii+sammas
see	selle
küla	küla
kohal	kohal
olema	`ol'lid
no	no
käima	käisid
küll	küll
linna+mees	linna+mehed
käima	käisid
ka	ka
nii	nii
kuidas	kudas
kala	kala
ö	ö
juhtuma	`juhtus
olema	olema
ö	ö
linna+mees	linna+mehed
käima	käisid
ka	kaa
siin	siin
püüdma	`püidmas
sügisel	sügise
hakkama	`akkas
e	e
algama	`algas
madal	madalast
aga	aga
talv	talve
peal	bäl
minema	läks
sügav	sügavalt
sügav	sügava
peal	päl
üles	ülös
ära	ära
külm	külmaga
külm	külmaga
aga	äga
püüdma	`püidma
käima	köisid
küll	küll
ö	ö
linna+mees	linna+mehed
käima	käisid
kah	kahh
aga	äga
nemad	nemad
käima	käisid
hobune	obustega
kala	kala
tooma	`toodi
ära	ära
ö	ö
kes	kellel
hobune	obustega
olema	`ol'lid
siit	siit
mees	mehed
ö	ö
või	või
siit	siit
mees	meistel
olema	`ol'li
ka	kaa
hobune	obusi
ligi	ligi
kui	kui
kala	kala
aeg	aeg
siis	s
tooma	`toodi
ära	ära
ja	ja
kui	kui
vähe	vähe
kala	kala
ei	ei
olema	olnud
ei	ei
olema	olnud
keegi	kedagi
noh	nohh
siis	siis
ei	äi
olema	olnud
miski	midagi
nii	nii
suur	suurt
tegemine	tegemist
aga	aga
aga	aga
kui	kui
tema	teda
rohkem	`rohkem
olema	`ol'li
siis	siiss
hobune	obustega
tooma	`toodi
ära	ära
valama	valid'i
püüs	`püised
läbi	läbi
tühi	tühaks
ja	ja
kala	kala
panema	`pan'tti
kott	`kot'ti
kott	`kot'tide
hobune	obuse
peale	pele
ja	ja
tooma	`tood'i
ära	ära
mis	mis
seal	säl
saama	saada
olema	onn
siis	siss
ö	ö
püüs	püis
olema	on
nüüd	nüid
jää	jää
all	all
sees	sihes
põhi	põeha
peal	pel
põhi	põeha
peal	pel
maas	maas
ja	ja
võtma	võettasse
sealt	säält
ä	ä
nöör	nööriga
ots	ots
üles	üles
ja	ja
hakkama	`akkad
seda+samuti	seda+sammatti
tõmbama	`tõmmama
tõmbama	`tõmmab
siia	`siija
nüüd	nüid
jää	jää
peal	päl
auk	auk
ja	ja
siis	siss
nüüd	nüid
alumine	alumine
mutt	mut'ti
ots	ots
minema	läheb
siia	siija
alla	`alla
auk	`aukku
ja	ja
teine	teene
olema	on
siit	siit
pealt	päält
nõudma	nõuwad
nõudma	nõuwad
see	selle
siia	siija
peale	pääl
ja	ja
ja	ja
võtma	võttad
järjest	järjest
kala	kala
välja	`väl'la
ja	ja
ja	ja
nõudma	nõuwad
sedasi	sedasi
peal	pääl
seniks	seniks
kui	kui
tühi	tüehe
olema	onn
ja	ja
olema	on
tema	ta
tühi	tühi
et	et
teine	teened
laskma	lased
siis	siss
tagasi	tagasi
jälle	jälle
teine	teine
vedama	veab
nöör	nööriga
alla	`alla
sina	sa
laskma	lahed
siit	siit
üks	ühe
mutt	mut'ti
jälle	jälle
tagasi	tagasi
minema	läheb
jälle	`jälle
püük	püigile
olema	on
kala	kala
välja	`väl'la
võtma	`võettud
ja	ja
ahven	ahvenast
olema	`ol'li
vimm	`vimma
olema	`ol'li
suur	suurt
koha+kala	kuha+gala
olema	`ol'li
angerjas	angerjast
ahven	ahvenast
vimm	`vimma
ja	ja
suur	suurt
koha+kala	kueha+gala
koha+kala	kuha+gala
koha+kala	kuha+kala
need	need
kala	kala
saama	sai
Viljandi+maa	Vil'landi+maa
mees	mehed
kaugelt	`kaugelt
eemamalt	`eemamalt
eemam	`eemama
mees	mehed
käima	käisid
need	need
kes	kellel
oma	omal
ö	ö
seuke	`seuksi
püüs	`püisi
ei	ei
olema	olnud
ja	ja
elama	elasid
kaugel	`kaugel
eemal	`eemal
maa	maal
maa	`maaga
meri	mere
e	e
kallas	`kalda
äär	äre
mees	mehed
nagu	nagu
meie	me
siin	siin
olema	oleme
meie	meije
püüdma	`püitsime
siis	siis
aga	aga
mis	miss
kaugemal	`kaugemal
juba	juba
nagu	nagu
Viljandi	Vil'landist
ja	ja
ö	ö
need	need
tulema	`tul'lid
siia	`siija
otsima	`ot'sima
ja	ja
siis	siss
ostma	`os'tsid
siit	siit
meie	mede
käest	käest
ostma	`os'tsid
siis	sis
elama	elasin
seal	sääl
mägi	mää
peal	päl
ja	ja
seal	seal
mina	mull
maa	maad
ei	ei
olema	jolnud
nagu	nagu
vanasti	vanasti
vaene	`vaesed
olema	`ol'lid
vaene	`vaesed
olema	`ol'lid
maa	maad
ei	ei
olema	jolnud
ja	ja
lammas	lammast
tahtma	`tahtsin
pidama	pidada
noh	nohh
ja	ja
siis	siiss
andma	`an'tsin
siia	siija
talu	taludes
kari	`karja
lammas	`lambad
ja	ja
pidama	pidin
tegema	tegema
lammas	`lamba
eest	eest
kaks	kaks
päev	`pääva
suvi	sui
ees	ees
ja	ja
tall	talle
eest	eest
päev	pääva
noh	nohh
ja	ja
siis	siiss
e	e
jälle	`jälle
tegema	tegin
töö	tööd
käima	käisin
töö	töös
ja	ja
siis	siss
tulema	`tul'lin
töö	`töösse
kui	kui
mina	ma
juhtuma	`juhtusin
vahel	vahel
natuke	nattukkene
hiljemaks	il'jemaks
jääma	`jääma
nagu	nagu
päike	`päikke
hakkama	`akkas
juba	juba
tõusma	`tõusma
kui	ku
mina	ma
siis	siiss
talu	talu
uks	ukse
ees	ees
olema	ol'lin
pere+naine	pere+naene
üks	üks
pere+naine	pere+naene
siin+samas	siin+samas
üleval	üleval
tulema	`tul'li
ise	isi
kraadima	`kraadis
sedasi	sedasi
e	e
küll	küll
need	nende
vaene	`vaeste
inimene	inimestel
hea	ää
elu	elu
olema	onn
päike	`päikke
paistma	paistap
perse	`perse
siis	siiss
tulema	tuleb
alles	alles
töö	`töösse
no	no
mõtlema	mõttelge
ja	ja
mis	miss
nüüd	nüid
jah	jahh
ja	ja
teine+kord	tene+gort
tulema	`tul'li
et	et
juhtuma	`juhtusid
hiljaks	il'jaks
jääma	jääma
oma	omal
olema	oli
ka	ka
kodus	kodu
ju	ju
talitus	tal'littus
ja	ja
laps	lapsed
ja	ja
mina	mull
olema	oli
kaks	kaks
laps	last
ja	ja
ämm	ämm
ja	ja
mees	mees
surema	`surri
ära	ära
ja	ja
noh	nohh
aga	aga
mis	mis
sina	sa
tegema	teed
pidama	pead
pidama	pead
teenima	`teenima
ja	ja
olema	olema
jah	jahh
ja	ja
käima	käisin
laev	`laevi
laadima	`laad'imas
ja	ja
jälle	`jälle
teenima	`teenisin
raha	raha
sedasi	sedasi
toitma	`toitsin
oma	oma
kaks	kaks
laps	last
aga	aga
nüüd	nüd
olema	põle
need	neid
üks+ki	`ühtegi
matma	`mat'sin
ära	ära
jah	jahh
ä	ä
laev	laevad
olema	`ol'lid
meri	meres
suur	suured
laev	laevad
kõrges	`kõrgess
paat	paad'iga
viima	`viitti
e	e
e	e
puu	puud
sinna	sinna
juurde	`juure
ja	ja
e	e
riit	riidad
olema	`ol'lid
väljas	`väl'las
seal	säl
plats	plat'si
peal	päl
sealt	sealt
meie	me
laduma	ladusime
koorem	`koorma
hobune	obustele
peale	`pääle
ja	ja
siis	siiss
viima	viisime
meri	`merre
ja	ja
siis	siiss
võtma	`võt'sime
kätte	`kätte
ja	ja
ä	ä
pilduma	`pillusime
sinna	sinna
paat	`paat'ti
ja	ja
paat	paad'ist
jälle	`jälle
e	e
viima	`viit'ti
paat	paad'iga
nemad	nad
üles	üles
suur	`suure
laev	`laeva
ja	ja
laev	laevast
e	e
nemad	nemad
pilduma	`pillust
jälle	jälle
laev	`laeva
ja	ja
laev	laev
minema	läks
Pärnu	`Pärnu
ja	ja
Riia	`Riiga
ja	ja
kus	kuss
need	neid
viima	`viit'ti
sedasi	sedasi
tegema	tegime
ja	ja
teenima	`teenisime
oma	omal
leib	`leiba
jah	jahh
kõik	`kõikki
mood	`mood'i
olema	olen
töö	tööt
tegema	teinud
kui	kui
lumi	lumi
minema	läks
jõgi	jõed
hakkama	`akkasid
jooksma	`joosma
siis	siis
hakkama	`akkasime
puu	puid
jõgi	`jõega
alla	`alla
laskma	lasema
ja	ja
puu	puid
võtma	`võtma
ja	ja
siis	siss
võtma	`võt'sime
puu	puid
jälle	jälle
ja	ja
panema	panime
riit	`riitta
ja	ja
suvel	sui
vedama	vidasime
meri	`merre
Riia	`Riiga
ja	ja
Pärnu	`Pärnu
ja	ja
nõnda	nõnda
olema	olen
oma	oma
elu+aeg	elu+aea
töötama	`tööttand
talvel	talve
kui	kui
juba	juba
lumi	lumi
maas	maas
olema	`ol'li
ja	ja
e	e
need	need
ära	ära
ostma	`os'tsid
rikas	`rikkamad
mees	mehed
lank	langid
noh	nohh
siis	siiss
mina	ma
otsima	`ot'sisin
oma	omal
paari+mees	paari+mehe
mina	ma
olema	`ol'lin
ju	ju
lesk	lesk
mees	meest
olema	põlnud
otsima	`ot'sisin
paari+mees	paari+mehe
võtma	`võt'sin
saag	sae
ja	ja
kirves	`kirve
ligi	ligi
ja	ja
minema	läksin
mets	`metsa
ja	ja
siis	siiss
saagima	`saagisime
seal	seal
puu	puid
jälle	jälle
noh	nohh
külm	kül'm
olema	`ol'li
küll	küll
põletama	põlettasime
oks	`oksi
ja	ja
ja	ja
siis	siss
noh	nohh
leib	leib
olema	`ol'li
leib	leib
ja	ja
mis	miss
keegi	kellegil
olema	ol'li
liha	liha
ja	ja
ligi	ligi
ega	ega
muu	muut
keegi	kedagist
lõunal	lõuna
sööma	sõime
seal	seal
tuli	tule
ääres	ääres
ja	ja
sedasi	sedasi
tegema	tegime
puu	puid
talvel	talve
kevadel	kevadi
siis	siss
hakkama	`akkasime
välja	`väl'la
vedama	vidama
jälle	jälle
noh	nohh
vara	vara
ikka	`ikke
kell	kella
neli	nel'last
tõusma	`tõusime
üles	üles
siis	siiss
olema	`ol'li
jälle	jälle
kodune	kodune
talitus	tal'littus
tegema	tiha
ja	ja
siis	siiss
pidama	pidi
minema	läksim
mets	`metsa
siis	siss
olema	ol'lime
seal	seal
ega	ega
hobune	obusega
ega	ega
hobune	obust
olema	põlnud
ju	ju
vaene	`vaese
inimene	inimesel
olema	põlnd
ju	ju
hobune	obust
jalgsi	`jalksi
ikka	`ikke
olema	ol'li
siis	siss
nii	nii
palju	pal'ju
kui	kui
sina	sa
pidama	pidid
vara	vara
minema	menema
kui	ku
et	et
sina	sa
jälle	jälle
valge	`valgeks
sinna	`sinna
saama	saad
kus	kus
sina	sa
töö	tööl
olema	oled
ega	ega
siis	sis
sedasi	sedasi
ei	ei
olema	jolnd
et	et
nüüd	nüt
mina	ma
panema	panen
hobune	obuse
ette	`ette
ja	ja
auto	auttud
ja	ja
see	seda
olema	põlnud
ju	ju
ikka	ikke
pidama	pidin
jalgsi	`jalksi
minema	menema
paari+mees	paari+mees
tulema	tul'li
ka	kaa
ja	ja
siis	siss
minema	läksime
saagima	`saagima
jah	jahh
ja	ja
sedasi	sedasi
tegema	tegime
siis	siss
noh	nohh
mõni+kord	mõni+gord
olema	ol'li
ligidal	ligidal
neli	neli
viis	viis
kilo+meeter	kilu+`meettert
ja	ja
see	see
olema	ol'li
ikka	`ikke
see	see
olema	ol'li
kõige	kõige
ligidamal	ligidamal
aga	aga
muidu	muidu
käima	käisime
kaugemal	`kaugemal
ka	ka
veel	veel
jah	jahh
ikka	`ikke
jalgsi	`jalksi
õhtul	`õhta
tulema	tule
kodu	kodu
jälle	jälle
ja	ja
ämm	ämm
olema	ol'li
kodus	kodu
laps	lastega
ja	ja
ikka	`ikke
käima	käisin
noh	nohh
saag	`saega
alt	alt
saagima	`saettakse
kus+pool	kus+pool
sina	sa
laskma	lased
sealt+poolt	säält+poolt
raiuma	raijud
e	e
maha	maha
või	või
lahti	`lahti
saagimine	`saagimise
poole	`poole
tema	ta
ei	ei
kukkuma	kukku
saag	saag
hoidma	oijab
nagu	nagu
saagimine	`saagimise
see	se
olema	onn
otse	otse
aga	aga
mis	mis
sina	sa
kus+pool	kus+pool
sina	sa
maha	maha
laskma	lased
sealt+poolt	sealt+poolt
saama	saad
raiuma	`raijuda
sinna	`sinna
minema	läheb
puu	puu
maha	maha
ja	ja
puu	puud
laskma	`lahtasse
üks	`ühte
ä	ä
jutt	`jut'ti
nõnda	nõnda
et	et
nemad	nad
latv	ladvad
üks	`ühte
et	et
tuli	tuli
saama	saab
üks	ühe
koht	koha
peal	peal
tegema	teha
kõik	kõik
mina	ma
olema	olen
kõik	kõik
ära	ära
tegema	teinud
oih	oihh
ära	ärge
rääkima	`rääkkige
see	seda
ei	ei
olema	jole
keegi	`keegi
töö	tööd
inimene	inimene
tegema	teinud
mis	miss
mina	mena
olema	olen
tegema	teinud
vaatama	vaadakke
praegu	`präegu
kus	kus
teie	te
vaatama	`vaattatte
praegu	`präegu
nüüd	nüid
olema	onn
ära	ära
kasvama	kasund
kus	kuss
kivi	kivid
olema	onn
ja	ja
mis	mis
mina	ma
olema	olen
kokku	`kokku
vedama	vidanud
hobune	obuse
ja	ja
üks	üks
vana	vana
must	must
hobune	obune
ja	ja
siis	siss
jälle	jälle
vana+mees	vana+mes
meie	me
olema	oleme
kolmekesi	kolmeksi
kõik	kõik
need	ned
kivi	kivid
kui	kui
teie	te
alla	`alla
minema	lähette
kivi+aed	kivi+aijad
siin	siin
olema	ol'lid
nõnda	nõnda
et	et
kui	ku
sakslane	`sakslane
pommitama	pommittas
meie	me
olema	olime
varjus	`varjus
nii	nii
kõrge	`kõrged
olema	ol'lid
aga	aga
nüüd	nüid
nemad	nad
vedama	`veetti
ära	ära
suur	suured
jätma	`jäätti
ainult	ainult
maha	maa
kui	ku
keegi	`keegi
nägema	nääks
mis+sugune	mis+sugused
meie	me
olema	oleme
kokku	`kokku
tooma	toonud
ja	ja
nüüd	nüid
olema	onn
meie	mede
põld	põld
kõik	kõik
maas	maas
ja	ja
mõtlema	`mõtle
kuidas	kudas
meie	meije
tegema	tegime
kahe+kümne+viies	kahe+`gümne+viijendal
aasta	`aastal
tulema	tul'lime
siia	`siija
jälle	jälle
ja	ja
siis	siss
ei	ei
olema	`jolnd
üks+ki	`ühtegi
põld	`põldu
kus	kuss
kivi	kivi
ei	ei
olema	jolnd
aga	aga
nüüd	nüid
olema	on
kõik	kõik
kivi	kividest
tühi	tühjad
vaatama	vaadakke
kus	kuss
olema	onn
müür	müir
praegu	`präegu
siin	siin
see	selle
pidama	pidime
ka	ka
maa	`maasse
laskma	lasema
aga	aga
jääma	jäime
vana	vanaks
ja	ja
tulema	tul'li
see	see
aeg	aeg
peale	`peale
et	et
ei	ei
olema	jolnd
enam	änam
tarvis	`tarvis
jah	jahh
jah	jahh
ja	ja
vaatama	vaadakke
miuke	`mõuksed
käsi	kääd
mina	mull
töö	`tööga
olema	onn
jääma	jäänud
jah	jahh
need	need
ei	ei
olema	jole
seisma	seistes
siuke	`sõukseks
jääma	jäänud
ja	ja
nüüd	nüid
ei	ei
valutama	valutta
nüüd	nüid
olema	onn
terve	`terved
aga	aga
üks	üks
viis	viis
kuus	kuus
aasta	`aastat
tagasi	tagasi
siis	sis
olema	ol'li
jalg	jalad
mina	ma
ei	ei
saama	saa
mis+sugune	mis+sugust
riist	`riista
oma	omal
jalg	`jalga
panema	`panna
jalg	jalad
olema	onn
nägema	nääd
nii+sugune	`nii+sugused
raske	`raske
töö	tööst
tulema	tuleb
reuma	roima
jooksja	`jooksja
jah	jahh
ei	ei
aitama	`aitta
keegi	`keegi
kui	kui
tema	ta
ära	ära
murdma	murrab
nägema	nääd
murdma	`murdis
ära	ära
ja	ja
nüüd	nüid
olema	põle
tegema	teha
nägema	näät
see	see
olema	onn
sedasi	sedasi
üles+pidi	üles+pidi
see	see
olema	onn
see	see
kõver	kõverass
ei	ei
andma	anna
nägema	nää
siuke	`sõuksed
nemad	nad
olema	onn
aga	aga
kui	kui
vana+mees	vana+mees
magama	magas
siis	siis
mina	mena
lüpsma	`lüpsin
lehm	`lehmi
ja	ja
ja	ja
talitama	tal'littasin
siga	sigu
ja	ja
nii+kaua	nii+gauwa
kui	kui
mina	minul
talitus	tal'littus
tegema	`tehtud
olema	ol'li
siis	siss
vana+mees	vana+mees
tõusma	`tõusis
üles	üles
minema	lähme
töö	`töösse
ja	ja
minema	läksin
töö	`töösse
nii	nii
et	et
mina	mena
elu+aeg	elu+aeg
üle	üle
seitse	`seitsme
tund	tun'ni
magama	magada
olema	põle
saama	`saanud
öö+päev	öö+bääva
kohta	`kohta
ja	ja
praegu	`präegu
kah	kahh
ikka	`ikke
kuus	kuuss
seitse	seitse
tund	`tun'di
see	see
olema	onn
mina	minu
magamine	magamine
vend	vend
saatma	`saat'tis
raha	raha
ja	ja
ja	ja
siis	siss
mees	mees
ostma	`os'tis
lank	`lankkisi
siit+samast	siit+samast
lank	`lankkisi
siis	sis
meie	me
saagima	`saagisime
jälle	jälle
ise	isi
saagima	`saagisime
need	neet
puu	puud
ära	ära
ja	ja
siis	siss
meie	meil
olema	ol'li
hobuse+tükk	obuse+tükk
siis	siis
meie	me
vedama	vidasime
ise	isi
ära	ära
need	ned
meri	mere
äärde	`ääre
need	neet
puu	puud
ja	ja
kevadel	kevadi
müüma	müisime
need	neet
puu	puud
ära	ära
ja	ja
saama	saime
raha	raha
ja	ja
siis	siss
korjama	`korjasime
raha	raha
kokku	`kokku
ja	ja
ostma	`os'tsime
see	selle
koht	koha
kahe+kümne+viies	kahe+`gümne+viijendal
aasta	`aastal
tulema	`tul'lime
siia	`siija
jah	jahh
enne	enne
see	seda
kahe+kümne+teine	kahe+`gümne+teisel
aasta	`aastal
see	see
mees	mees
tulema	tul'li
mina	menu
juurde	`juure
ja	ja
meie	me
ei	ei
olema	ole
registreerima	registreerittud
meie	me
ei	ei
olema	ole
laulatama	laulattud
meie	me
olema	oleme
mina	mena
olema	olen
Hendrikson	Hendrikson
tema	tema
olema	onn
Saks	Saks
nõnda	nõnda
et	et
elama	elame
siia+maani	`siija+`maale
kahekesi	kaheksi
ikka	`ikke
ja	ja
töötama	`tööttame
nüüd	nüid
olema	onn
tema	tall
nii+palju	nii+balu
tahtmine	`tahtmine
ära	ära
et	et
tema	ta
ei	ei
tegema	tee
enam	änam
töö	tööd
ei	ei
tahtma	taha
tegema	teha
suur	suure
kiskumine	`kiskumisega
minema	lähep
siis	siiss
jah	jahh
nõnda	nõnda
olema	olen
elu+aeg	elu+aea
elama	elanud
jah	jahh
ja	ja
nüüd	nüid
ostma	`os'tsime
see	selle
koht	koha
ja	ja
ja	ja
puudu	`puuduss
jääma	jäi
raha	raha
veel	veel
kuus+kümmend	kuus+kümmend
mis	mis
nüüd	nüt
see	sell
aeg	aeal
olema	ol'l
tsaar	tsaari
raha	rahad
kuus	kuuss
kuus	kuuss
kuus+sada	`kuus+sada
rubla	rubla
või	või
mis	mis
tema	ta
olema	`ol'li
tsaar	tsaari
raha	raha
ja	ja
siis	siiss
tegema	tegime
lina	linu
maha	maha
ja	ja
siis	ss
meie	me
katkuma	`kakkusime
lina	linu
ja	ja
tegema	tegime
müüma	müisime
lina	linu
ja	ja
ja	ja
siis	siiss
korjama	`korjasime
sügis	sügis
seal	seal
olema	`ol'lid
põrsas	`põrsad
ja	ja
pütt	püt'tiga
viima	viisin
Pärnu	`Pärnu
või	võid
müüma	`müija
ja	ja
korjama	`korjasin
viimane	viimatse
tilk	tilga
kokku	`kokku
ja	ja
ja	ja
siis	siiss
korjama	`korjasime
sügis	sügiseks
kuus+kümmend	kuus+kümmend
mäletama	määletta
mis	miss
need	ned
olema	`ol'lid
rubla	rublad
või	vä
jälle	jälle
ära	ära
kuus+sada	`kuus+sada
rubla	rubla
või	vä
ja	ja
siis	siss
maksma	`maksime
jõul	jõuluks
see	selle
talu	talu
ära 	ära 
ja	ja
siis	siss
olema	ol'li
meie	mede
jagu	jagu
siis	siss
kirjutama	kirjuttadi
meie	`meile
jah	jahh
vana+aegne	vana+`aegne
kolm+kümmend	kolm+gümmend
vaka+maa	vakka+mad
noh	nohh
mina	mia
ei	ei
teadma	tea
mitu	mittu
hektar	`ektari
see	see
olema	onn
kas	kas
siis	siss
kümme	kümme
hektar	`ektari
või	või
mis	miss
tema	ta
olema	onn
mina	mina
ei	ei
teadma	tea
see	seda
ei	ei
mäletama	mäletta
enam	änam
kuidas	kudas
aga	aga
nõnda	nõnda
et	ett
kolm+kümmend	kolm+gümmend
vaka+maa	vakka+mad
olema	`ol'li
see	seda
maa	maad
see	se
olema	onn
seal	seal
meri	mere
ääres	`ääress
seal	seal
kõrge	`kõrge
kivi+vundament	kivi+vundamen'diga
kõrge	`kõrge
suur	suur
maja	maea
seal	seal
mina	ma
elama	elasin
enne	enne
kümme	kümme
aasta	`aastad
jah	jahh
ja	ja
nüüd	nüid
nüüd	nüid
olema	oleme
siin	siin
ja	ja
kahe+kümne+viies	kahe+`gümne+viijendast
aasta	`aastast
saadik	saad'ik
maa	maad
ei	ei
olema	olnd
tema	tema
tahtma	`tahtis
kangesti	`kangeste
maa	maad
noh	nohh
ja	ja
tema	tema
selle+pärast	selle+pärast
orjama	`orjasime
ja	ja
ostma	`os'tsime
lehm	`lehmi
ja	ja
ja	ja
hobune	obuse
ja	ja
ja	ja
siis	siss
hakkama	`akkasime
sedasi	sedasi
elama	elama
mere+mees	mere+mees
olema	`ol'li
laeva+mees	laeva+mees
käima	käis
laev	`laevas
ja	ja
esimene	esimene
mees	mees
kui	kui
tema	ta
tulema	`tul'li
mina	mind
ei	ei
olema	olnud
olema	`ol'li
rohkem	`rohkem
kui	ku
purje+riie	purju+`riide
kott	kot't
ja	ja
kohver	`kohver
ja	ja
tulema	`tul'li
Ameerika	Ameerikkast
ja	ja
tooma	tõi
tooma	tõi
raha	raha
ja	ja
hakkama	`akkas
maja	maea
ehitama	ehittama
ja	ja
ehitama	ehittas
sinna	`sinna
üles	üles
maja	maea
nõnda	nõnda
et	et
e	e
mai	mai
esimene	esimesel
mai	mail
olema	`ol'li
tulema	tulnud
ja	ja
ja	ja
kahe+kümne+viies	kahe+`gümne+viijendal
detsember	tets`embril
olema	ol'li
juba	juba
maja	maeas
sees	sihis
tema	tema
ja	ja
kevadel	kevadi
esimene	esimesel
mai	mail
tooma	`toodi
mina	mend
siia	siija
Kabli	Kablisse
e	e
tulema	`tul'li
sinna	`sinna
ja	ja
võtma	`võt'tis
mina	mend
ära	ära
ja	ja
tooma	tõi
siia	siija
Kabli	Kablis
ja	ja
elama	elasin
siis	siss
seal	sääl
nii+kaua	nii+gauwa
kui	kui
tema	ta
ära	ära
surema	`surri
kümme	kümme
aasta	`aastad
kuus	kuus
aasta	`aastad
tema	temaga
elama	elasin
ja	ja
saama	sain
kaks	kaks
tütar	tüdart
ja	ja
siis	siiss
need	neet
kasvatama	kasvattasin
üles	üless
ja	ja
ja	ja
nägema	nääd
surm	surm
võtma	`võt'tis
nemad	nad
mõlemad	mõlemad
mina	mull
ära	ära
ei	ei
jätma	jätnd
üks+ki	`ühtegi
jah	jahh
selle+pärast	selle+pärast
mina	ma
ütlema	`ütlen
et	et
see	seda
vaev	`vaeva
ja	ja
raskus	`raskust
olema	olen
küll	küll
nägema	näinud
ja	ja
kurbus	`kurptust
ja	ja
matmine	`matmist
ja	ja
valus	valusi
päev	`päivi
olema	olen
nägema	näinud
mina	ma
ütlema	`üt'sin
kui	kui
tütre+poeg	`tütre+poeg
sinna	`sinna
jälle	jälle
auto	auttu
alla	alla
jääma	jähi
Kabli	Kabli
naine	naist
minema	läksin
karjuma	karides
alla	`alla
e	e
jälle	jälle
Kabli	Kabli
naine	naesed
ütlema	`üt'sid
oh	ohh
sina	sa
jumal	jumal
Marie	Mariije
küll	küll
sina	sina
õnnetu	õnnettu
olema	oled
et	et
ä	ä
alles	alles
minev+aasta	minev+aasta
matma	`mat'sid
tütar	`tütri
ja	ja
nüüd	nüid
matma	`mattat
poeg	poea
jälle	jälle
seal	seal
mina	ma
käima	käisin
ju	ju
talu	taludes
töö	töös
suvel	sui
jälle	jälle
ikka	`ikke
teenima	`tiinisin
rubla	rubla
ä	ä
saama	sai
mees	mees
päev	`päevas
aga	aga
mina	`meule
andma	`an'dis
üheksa+kümmend	ühessa+gümmend
kopikas	koppikkut
päev	`päevas
et	et
jälle	jälle
mina	ma
olema	`ol'lin
kange	`kange
töö+inimene	töö+inimene
ja	ja
siis	sis
mina	ma
käima	käisin
Krant	`Krant'tis
ja	ja
siin	siin
Juri	Juri
õu	`õuwes
ja	ja
käima	käisin
töö	töös
see	see
siis	siss
kui	kui
jälle	jälle
kui	kui
tuul	tuul
ä	ä
vaga	vaga
olema	ol'li
siis	siis
mina	ma
olema	`ol'lin
laadima	`laad'imas
siis	siiss
mina	mool
olema	`ol'li
üks	üks
vana	vana
kevadel	kevadi
ostma	`os'tsin
üks	ühe
vana	vana
hobune	obuse
setukas	settukka
siis	siis
see	sellega
käima	käisin
jälle	jälle
laadima	`laad'imas
ja	ja
kui	ku
kui	ku
tuuline	tuulene
olema	ol'li
siis	siss
käima	käisin
talu	taludes
töö	töös
siis	siss
nõnda	nõnda
et	et
mina	ma
jälle	`jälle
püha+päeval	püha+bäe
tegema	tegin
oma	oma
hobune	obuse
ja	ja
lehm	lehma
või	või
lehm	lehma
hein	eina
aga	aga
mina	ma
viimati	viimatti
hakkama	`akkasin
lehm	`lehma
pidama	pidam
või	või
pidama	pidasin
siis	siss
püha+päev	püha+bäval
tegema	tegin
oma	oma
lehm	lehma
hein	`eina
ja	ja
töö+päev	töö+bäval
käima	käisin
talu	taludes
töö	tööss
siis	siiss
tegema	tegin
need	neid
lammas	`lamba
päev	`päivi
ja	ja
ja	ja
raha	raha
teenima	`teenisin
ja	ja
seda+viisi	seda+visi
elama	elasin
ja	ja
elatama	elattasin
ise	ennast
vaesus	`vaesust
mina	ma
ei	ei
olema	ole
nägema	näinud
no	noo
selle+pärast	selle+bärast
et	et
mina	ma
olema	olen
ikka	`ikke
töötama	`tööttand
