mh	mh
sihuke	`seoksed
suur	sured
ankur	`ankrud
need	neid
teie	te
olema	olette
nägema	näinu
kah	kah
raud+ankur	raud+`ankrud
jah	jahh
nüüd	nüid
olema	on
vähem	vähemad
ennem	ennem
olema	ol'lid
kaaluma	`kaalusid
kuni	kuni
neli	neli
viis	viis
kuus+kümmend	kuus+kümmend
kilo	kilu
kaaluma	`kaalus
üks	üks
ankur	`ankkur
aga	aga
nüüd	nüid
olema	on
nemad	nad
kõigest	kõigeks
vähem	vähemad
kaks+kümmend+viis	kahe+gümne+viije
kilone	kilused
kaks+kümmend+viis	kaks+kend+viis
kilo	kilu
kaaluma	kaalub
üks	üks
ankur	`ankkur
ja	ja
aed	aid
panema	`panttaks
sisse	`sisse
see	see
neli	neli
viis+sada	viis+sada
meeter	`meettert
ikka	`ikke
vastamisi	`vastamisi
teine	teine
ankur	`ankkur
põhi	põhja
pool	pol
välja	`väl'ja
teine	teine
lõuna	lõona
pool	pol
välja	`väl'ja
iga	iga
kaks+kümmend+viis	kahe+gümne+viije
meeter	`meetri
või	või
viis+kümmend	viije+gümne
viis+kümmend	viije+gümne
kus	kus
panema	`panttaks
liin	liinid
ankur	`ankrud
kaks+kümmend+viis	kaks+kümmend+viis
süld	`sülda
liin	`liini
taga	taga
ja	ja
panema	`panttaks
ankur	`ankkur
jälle	jälle
käima	käib
enne	`enne
olema	ol'lid
siin	sii
kui	ku
hakatus	akkattuss
olema	ol'lid
pealt	päält
kinnitus	kin'nittusega
olema	ol'lid
need	ne
ankru+liin	`ankru+liinid
e	e
nagu	nagu
see	see
suur	suured
tünn	tün'nid
või	või
muts	mutsud
olema	ol'lid
peal	pääl
kinnitama	kin'nittad
sinna	`sinna
külge	`kül'ge
aga	aga
nüüd	nüid
tulema	tul'li
jälle	`jälle
uus	uus
mood	mood
ja	ja
nüüd	nüid
panema	`panttakse
nemad	nad
põhi	põhjast
kinnitama	kin'nittaks
ja	ja
need	nee
klaas+muna	klaas'+munad
olema	on
peal	pääl
ja	ja
seisma	seesavad
paremini	paremini
sees	sehe
kui	kui
enne	enne
need	nende
muts	mutsudega
muts	mutsudega
see	se
pealmine	`päälmine
liin	liin
see	see
pidama	pidi
igavene	igavene
jäme	jäme
tross	ros's
olema	ol'li
no	no
sihuke	`seokke
olema	ol'li
või	või
kui	ku
nii	ni
kaks	kaks
käsi+vars	käe+vart
kokku	`kokku
panema	panna
olema	`ol'li
kes	kelle
küljes	kül'jes
aga	aga
nüüd	nüid
põhi	põhjast
kinnitus	kin'nittusega
nüüd	nüid
ei	ei
olema	ole
enam	änam
sihuke	`seokkest
vaja	vaja
nüüd	nüid
olema	on
peenike	peenikke
seal	sääl
all	all
põhi	`põhjas
ja	ja
see	se
pealmine	`päälmine
aed	aid
siis	siss
käima	käib
nagu	nagu
need	nende
klaas+muna	klaas'+munadega
liikuma	liigub
edasi	edesi
tagasi	tagasi
tema	tend
ei	ei
torm	torm
ei	ei
lõhkuma	lõhu
tema	tend
nii	nii
palju	paelu
muts	mutsud
sihuke	`seoksed
väike	`väiksed
pütt	püttad
no	no
e	e
hehehehh	hehehehh
kutsuma	kutsut'ti
kaks	kaks
põhi	`põhja
all	all
ja	ja
nemad	naad
olema	on
nii	nii
palju	paelu
kindel	`kindlad
et	et
tema	taa
vesi	vett
sisse	`sisse
ei	ei
minema	lähe
kaks	kahe
põhi	põhjaga
raud+vits	raud+vitsad
peal	pääl
ja	ja
siis	s
need	nee
kinnitama	kinnittadi
sinna	`sinna
aed	aija
külge	`kül'ge
kinni	`kin'ni
ja	ja
need	nee
hoidma	`oits'id
see	selle
aed	aija
peal	pääl
siis	siiss
ja	jaa
kast	kas'ti
nurk	nurgad
ja	ja
kõik	kõik
iga	iga
kast	kas'ti
nurk	nurgal
olema	ol'li
neli	nel'i
tükk	tükki
need	ne
olema	ol'lid
suur	suured
nagu	nagu
need	ne
pütt	püttad
