jaah	jaahh
laskma	`lasti
püksid	püksid
ära	ää
koorima	`koordida
siia	`siija
põlv	pölve
e	e
pool	`poole
reis	`reide
ning	ning
siis	siis
terav	teravaks
ajama	`aetti
tegema	`tehti
jälle	`jälle
halg	alg
nõnda	nöndat
olema	oleks
noa+tera	noa+tera
olema	olnd
kirves	`kirvega
raiuma	raijutti
ning	ning
panema	`pandi
paljas	paljaste
põlv	`pölvedega
äh	ähh
kuulama	kuula
nüüd	nüid
vana+mees	vana+mes
halg	alu
peal	pääl
kaks	kaks
põlv	`pölve
peal	pääl
ning	ning
nooh	noohh
noh	nohh
rääkima	räägid
sina	sa
veel	veel
siuke	sihandussi
jutt	`juttusid
ajama	aea
oma	`oome
neli	neljad
püksid	püksid
jalg	`jalga
siis	siis
tõmbama	tömmame
püksid	püksid
kõrge	`körgemale
veel	veel
noh	nohh
mis	miss
see	sest
olema	oli
vali	vali
seadus	`säädus
oh	ohh
helde	`elde
Palsu	Palsu
Mihkel	`Mihkel
käima	käis
kosi	`kosjas
helde	`elde
Jumal	Jumal
mis	miss
mina	ma
siis	ss
see	sest
kartma	karda
nüüd	nid
mina	maa
ütlema	`itle
mina	maa
olema	ole
nii	nii
odav	odava
põrsas	pörsast
pagan	pagan
küsima	küsittasse
ka	kaa
olema	onts
sina	sol
põrsas	pörsast
mina	`moole
andma	anda
mina	mind
olema	pole
mitte	`mette
küsima	küsittud
muu	muud
kui	kut
vana	vanad
olema	olid
mina	moo
isa	isa
ajama	aeand
jälle	`jälle
kirik	kirgu
juurest	juurest
e	e
saan	`saani
ning	ning
tooma	toond
siia	`siija
ning	ning
tema	taa
ei	p
tahtma	taha
mitte	`mette
siuke	sihandussi
uhke	`uhkid
ning	ning
lipakas	lippakkid
meie	meitte
koht	koht
ei	ep
pidama	pia
mitte	`mette
ülal	ülal
et	et
teie	teitte
laps	lapsed
käima	käivad
harilikult	arilikkult
riie	`riides
et	et
vat	vat
mina	maa
ning	ning
siis	siis
siis	siis
olema	olid
jooma	joond
vana	vana
olema	oli
ise	ise
nii	nii
pehme	`pehmeks
jääma	jäänd
siis	siis
Pölma	`Pölma
Jaan	Jaen
olema	oli
selts	`seltsi
Mihkel	`Mihklile
saatma	saadettud
tulema	tulavad
mina	maa
ei	ss
teadma	tää
ise+ki	innestkid
enam	emm
ütlema	`itlea
nooh	noohh
panema	pane
nüüd	nd
hea	paramad
riie	`riided
üle	üle
sina	sool
tulema	tulavad
kosilane	kosilased
mina	maa
ütlema	`itle
et	et
oh	ohh
tohoh	tohhohh
hull	`ullu
kus	kuss
mis	miss
nägu	nägu
mees	mees
see	see
olema	onn
mina	`moole
olema	pole
keegi	kedad
miski	medad
rääkima	`rääkkind
tulema	tulid
sisse	`sisse
nooh	noohh
hakkama	`aksid
peale	`pääle
kauplema	`kaupleme
ema	ema
ütlema	`itles
sedasi	sedasi
et	et
mina	maa
ei	s
rääkima	räägi
mitte	`mette
sõna	söna
mina	maa
ütlema	`itli
ju	joo
nägema	nääb
mis	miss
see	sest
asi	asjast
välja	`välja
tulema	tuleb
siis	siss
Jaan	Jaen
küsima	küsib
uks	ukse
vahel	vahel
kuidas	kuidas
mina	ma
siis	ss
kuidas	kuidas
mina	ma
siis	ss
pidama	pea
nüüd	nüid
rääkima	`rääkkima
jälle	`jälle
e	e
kas	kass
olema	onn
tulija	tulijad
ka	kaa
või	vöi
olema	pole
jääma	jääb
see	se
sedasi	sedasi
jälle	`jälle
et	et
meie	mee
olema	oleme
viin	viina
ära	ää
jooma	`joottand
ema	ema
ütlema	`itles
mina	maa
andma	anna
vill	`villu
see	selle
eest	eest
mina	mool
vill	`villu
küll	küll
mina	mina
ei	b
andma	anna
laps	last
mitte	`mette
kui	kui
vana	vanad
ei	ep
tulema	tule
vana	vana
Miina	Miina
tulema	tuleb
teine	teise
hommik	oomikku
meie	meittele
silm	silmad
vesi	vett
täis	täis
andma	`antke
nüüd	nüid
ikka	`ikka
Miina	Miina
et	et
noh	nohh
Mihkel	`Mihkel
ütlema	`ütles
et	et
tema	taa
minema	läheb
ära	ää
ning	ning
et	et
nõnda	nöndat
et	et
tema	teda
ei	p
nägema	nää
enam	änam
kes	killette
silm	silmad
mina	mool
üks	üks
poeg	poeg
nüüd	niid
olema	onn
nüüd	niid
tema	taa
minema	läheb
ära	ää
maa+ilm	ma+`ilma
päta+jalg	pätta+jalaks
ning	ning
kui	kui
tema	ta
ei	p
saama	saa
no	no
siis	siis
mina	ma
mina	maa
murdma	murra
nööp+nõel	nööp+nööla
ka	kaa
puruks	puruks
pooleks	pooleks
teine	teise
mina	ma
andma	anna
siis	siss
oma	oma
laps	lapsele
ning	ning
teine	teise
mina	ma
andma	anna
Miina	Miinale
et	et
tema	ta
olema	onn
mina	moo
eest	eest
nõnda	nönda
suur	suur
asi	asi
kui	kut
mina	mo
oma	oma
laps	laps
säh	tsähh
perse	perset
pulm	pulma
aeg	`aega
hakkama	`aksid
peale	`pääle
punnima	`punnima
ning	ning
jonnima	`jönnima
ning	ning
viimaks	`viimaks
ei	es
olema	ole
maik	`maikku
vaatama	vada
siis	siis
veel	veel
kui	kut
Roosi	Roosi
e	e
jälle	`jälle
joot	joodud
olema	olid
siis	siis
tulema	tuleb
mina	moo
juurde	`juure
isa	isa
papa	pappa
olema	oli
ikka	`ikka
nõnda	nönda
vana	vana
mõistlik	`möistlik
mees	mees
tema	taa
jooma	jöi
nii	nii
palju	palju
panema	pani
viin	viin
olema	oli
tema	taal
lukk	lukku
taga	taga
aga	aga
kui	kui
tema	ta
lahti	`lahti
olema	oli
siis	siis
tema	ta
rinkama	`rinkkas
tema	taa
puha	puhas
ära	ää
noo	noo
siis	siis
tulema	tuleb
mina	moo
juurde	`juure
Miina	Miina
enne	`enne
tooma	`toodi
sina	`soole
pudel	pudelid
või	vöi
siia	`siija
andma	anna
mina	`moole
teine	teine
mina	maa
viima	vii
kokk	`kokkadele
kokk	kokkad
ei	es
olema	ole
miski	midad
jooma	joond
see	seda
viin	`viina
siis	siis
jälle	jälle
mina	maa
panema	pane
oma	omale
porss	`porssade
peale	`pääle
noh	nohh
panema	pani
porss	`porssade
peale	`pääle
ning	ning
ase	aseme
jaluts	jalgutsele
Mihkel	`Mihkel
tulema	tuleb
ära	ää
inimene	inimesed
istuma	`istuvad
ümber	`ümber
rend	renni
juba	juba
noo	noo
noo	noo
kus	koess
teine	teine
pudel	pudel
jääma	jäänd
mina	maa
ütlema	`itli
teie	tee
soiguma	soijutte
ju	jo
ikka	`ikka
et	et
mina	maa
ei	p
jooma	joo
mina	maa
ei	p
jooma	joo
nüüd	nüid
mina	maa
jooma	jöi
pudel+täis	pudeli+däve
ära	ää
ning	ning
nüüd	nüid
nüüd	nüid
olema	pole
jälle	`jälle
kena	kena
no	no
mis	miss
mis	miss
jutt	jutt
see	see
nüüd	nd
olema	onn
ei	äi
ei	äi
rääkima	räägi
minema	läks
sina	so
käsi	kääst
katki	`katki
või	vöi
mina	maa
ütlema	`itli
sina	saa
nägema	nääd
et	et
pudel	pudel
rend	renni
peal	pääl
tühi	tühi
olema	onn
kus	koes
see	see
siis	ss
katki	`katki
minema	läks
viin	viin
ei	ep
minema	lähe
ju	jo
katki	`katki
pudel	pudel
ju	jo
terve	`terve
noo	noo
siis	siis
olema	oli
minema	läind
vana+mees	vana+mehe
juurde	`juure
küsima	küsind
jälle	`jälle
et	et
andma	anna
mina	`moole
võti	vötti
et	et
mina	maa
minema	lähe
tooma	too
viin	`viina
et	et
mina	maa
ütlema	`itli
et	et
ema	ema
kallama	`kaldas
see	see
viima	viis
kokk	`kokkadele
noo	noo
siis	siis
võtma	`vöötti
kokk	kokkad
kas	kass
olema	onn
nemad	nad
ära	ää
jooma	joond
nemad	naad
olema	pole
jooma	joond
kael	kaila
seest	sehest
olema	pole
ära	ää
minema	läind
mitte	`mette
siis	siis
vana+mees	vana+mes
olema	oli
hakkama	`akkand
siis	sis
pakkuma	`paukkuma
tema	taale
et	et
vaatama	vaada
nüüd	nd
nii	nii
palju	pailu
et	et
inimene	inimesed
sööma	`süija
saama	saavad
et	et
jooma	joo
siis	siis
pärast	pärast
nii	nii
täis	täis
kui	kut
sina	sa
tahtma	tahad
muud+kui	muud+kut
pistma	`pistand
siit+samast	siit+sammust
põld	pöllalt
paat	paade
auk	augu
äär	äärelt
vana	vana
olema	oli
siis	siis
teine	tese
kätte	käde
saama	saand
nooh	noohh
tooma	toond
ära	ää
tema	taa
hakkama	`akkand
kusema	kusema
pöörama	`pöörand
selg	selja
kohe	kohe
vana	vana
kaduma	kadund
ära	ää
tema	ta
käest	kääst
ning	ning
siis	siis
tema	ta
olema	li
pahn	pahna
sisse	`sisse
minema	läind
siis	siis
tema	ta
olema	oli
terve	`terve
öö	öö
pahn	pahna
sees	sehes
magama	magand
hommikul	oomikku
siis	siiss
mina	moo
isa	isa
ning	ning
ema	ema
tulema	tulid
kodunt	kodunt
olema	olid
jälg	jäljed
nägema	näind
siis	siis
olema	olid
tihnik	tihikku
minema	läind
sinna	`sönna
ära	ää
peitma	`pettand
sina	sina
taevane	taevane
siis	siis
