vaatama	vaatta
kirik	kirikku
peale	päle
nagu	nigu
piip	`piippu
tõmbama	tõmmass
sealt	sääld
kirik	kirikku
torn	tornist
ja	ja
mõtlema	`mõtli
et	et
kunas	kuna
mina	ma
sinna	`sinna
saama	saa
ega	ega
mina	ma
es	ss
mõtlema+ki	`mõtlegi
et	et
kirik	kirik
põlema	põles
nüüd	nüd
seda+viisi	sedä+visi
aga	aga
rahvas	ravvast
olema	olli
seal	sääl
kukk	kukk
olema	olli
ots	`otsan
ja	ja
muna	muna
olema	ol'li
ots	`otsan
seal	sääl
aga	aga
see	sedä
puu	puu
osa	osa
nõnda	nõnda
palju	pal'lu
olema	oli
et	et
tema	tal
tuli	tuli
olema	ol'li
ja	ja
siis	siss
tema	ta
tulema	tulli
ja	ja
siis	sõss
mina	ma
minema	lätsi
kirik	kirikku
manu	manu
ja	ja
siis	sõss
juba	joba
teine	tõese
kandma	`kandseva
kraam	`kr'aami
kirik	kirikkust
välja	`väl'lä
õpetaja	õppettaa
õde	õde
olema	olli
mina	minnu
ütlema	`ütleme
aga	aga
ütlema	üttelnud
saksa	saksa
keel	keeles
e	e
vend	vennale
et	et
seda+viisi	sedä+viisi
kirik	kirikkul
olema	om
tuli	tuli
otsas	otsan
siis	sõs
õpetaja	õppettaa
tänama	tänäs
ikka	ikki
see	sedä
õde	õde
et	et
õde	õde
mitte	`mitte
es	ess
ütlema	`ütle
Eesti	eesti
keel	keeles
et	et
siis	sõss
olema	oless
tüdruk	tüdrukku
kõik	kikk
heituma	`eittunu
sada+kolm+kümmend	sada+kolm+kümmend
tüdruk	tüdrukkut
olema	olli
meie	meid
see+kord	`sii+gõrd
leer	leerin
es	ess
olema	ole
poiss	`poisse
seltsis	seltsin
ja	ja
vaatama	`vaatte
nüüd	nüid
ei	ei
saama	saa
ühte+kokku	`ütte+`kokku
ka	kaa
nõnda	nõnda
palju	pal'lu
kunagi	kunagi
need	neid
ja	ja
siis	sõss
see	sii
kirik	kirik
põlema	põless
seni	seni
kui	kui
õhtu+pool	`õhtsa+pooleni
vast	vas't
kell	kella
kolm	kolme
neli	nel'läni
seda+viisi	sedä+viisi
ootama	`uutsime
et	et
et	et
kui	kui
see	sii
kirik	kirikku
torn	tor'n
kukkuma	kukkup
seda+viisi	sedä+viisi
ette+poole	`ette+poole
maha	maha
et	et
siis	sõss
siis	sõs
tema	ta
ei	ei
minema+ki	lähägi
põlema	põleme
alumine	alumene
kirik	kirik
no	no
vaate+torn	vaatte+tor'n
olema	om
ots	otsa
peal	pääl
aga	aga
see	see
torn	tor'n
kukkuma	`kukkusi
külg	kül'le
peale	pääle
ja	ja
lööma	lei
katus	kattusse
katki	`katki
sääne	`seande
tahvel	`tahvel
katus	kattuss
olema	olli
ja	ja
lööma	lei
see	selle
tuli	tule
sisse	`sisse
sinna	sinna
siis	siss
need	ni
väär	`vääre
ja	ja
need	nii
kõik	kikk
põlema	põlesive
need	nii
tükk	tükki
muidugi	mud'ugi
mis	miss
lahtine	`lahtise
olema	olli
need	nii
kandma	kannetti
kõik	kikk
välja	`väil'lä
seest	siist
altar	`alttari
ja	jaa
mis	miss
vähegi	vähätki
orel	oreli
ja	ja
kõik	kikk
kandma	kannetti
välja	`väil'lä
aga	aga
mis	miss
es	ess
andma	anna
kandma	`kanda
see	sii
jääma	jäi
sisse	`sissi
ja	ja
siis	sõss
põlema	põless
seest	siist
tema	temä
seni+kaua	seni+kavva
kui	kui
õhtu	`õhtuni
ja	ja
peale	pääle
õhtu	`õhtu
ka	kaa
ikka	ikki
veel	viil
no	no
kirik	kirikkun
olema	olli
väär	väärit
ja	ja
kõik	`kikke
sees	sehen
palju	pal'lu
ei	ei
mõistma	mõesta
nüüd	nüid
äkki	`äkki
enam	enäm
minema	`minnä
kuskile	`kuskil
ja	ja
olema	olli
seni	seni
kui	ku
lõpp	lõppuni
ja	ja
lõpp	lõppun
olema	olli
siis	sõss
nii+viisi	nii+visi
kui	ku
meie	me
armu+laud	armu+lavvale
minema	lätsim
siis	sõss
olema	olli
meie	meid
kõik	kikk
kolm	kolme
kaupa	`kauppa
rong	rongin
ja	ja
siis	sõss
laskma	`lasti
meie	meid
enne	enne
kirik	kirikku
müür	`müüride
vahel	vahel
seda+viisi	sedä+viisi
ka	ka
käima	`käija
põlvitama	põlvittemen
veel	viil
seal	sääl
enne	enne
kui	ku
meie	me
siis	sis
minema	lätsim
meie	meil
olema	olli
suur	suur
palve+maja	`palve+maja
siin	siin
kuskil	`kuskil
siin	siin
Mustla	`Mustla
linn	linna
taga	taga
ots	`otsa
man	man
nüüd	nüid
olema	omm
nõnda	nõnda
ära	ärä
lõhkuma	lõhut
et	et
mitte	`mitte
üks	`ütte
kivi	kivi
ei	eij
olema	ole
see	selle
ase	asemel
enam	enäm
kah	kahh
ja	ja
siis	siss
