kui	kui
mina	mina
oma	oma
kodu	kodos
olema	ol´lin
mis	miss
meie	meije
aken	akken
olema	ol´li
siuke	`siukke
sama	samma
noh	nohh
aga	aga
neli	nel´i
ruut	ruuttud
jumal	jumal
ema	emä
ketrama	kedräs
seal	siäl
tegema	tegi
isa	isä
kui	kui
isa	isä
raiuma	`raidus
kõik	kõik
kodar	kodarid
ja	ja
asi	`as´ju
tegema	tegi
vanker	`vankred
ah	ahh
soo	soo
no	no
mis	miss
asi	`asja
mina	mina
no	nu
jah	jahh
noh	nohh
ee	ee
mitu	mittu
päev	`päevä
need	neid
rohkem	`rohkem
pidama	`peet´ti
üks	üks
kolm	kolm
päev	`päevä
või	või
neli	nel´i
päev	`päevä
või	või
nii	nii
pidama	`peet´ti
pulm	`pulme
enne	`enne
jah	jahh
aga	aga
jah	jahh
jah	jahh
noh	noohh
ee	ee
kosjas+käimine	`kos´jas+`käimene
olema	ol´li
hoopis	`uuppis
noh	nohh
minema	`min´tti
õõ	õõ
vanasti	vanasti
olema	ol´lid
ju	ju
minema	`min´tti
mitu	`mitme
mees	mehegä
kui	kui
kosi	`kos´ja
minema	`min´tti
ja	ja
mitu	`mitme
mees	mehegä
käima	`käidi
ja	ja
kuidas	kudass
keegi	`kiigi
käima	käis
neli	nel´lä
viis	viijegä
ja	ja
mõni	mõned
käima	käisid
kuus	kuuwe
seitse	`seitsmegä
ja	ja
jah	jahh
käima	käisid
mitu	`mitme
mees	mehegä
käima	`käidi
no	no
ja	ja
siis	sis
kosi	kos´jad
olema	ol´lid
siis	sis
tulema	tul´lid
pärast	pärast
pulm	pulmad
käima	`käidi
laulatus	laalatsel
ja	ja
jah	jahh
mina	minu
aeg	aeg
olema	ol´li
kui	kui
mina	mea
mäletama	mälettän
ja	ja
mina	`meuga
käima	`käidi
ikka	ikke
võtma	`võet´ti
minema	läksid
kokku	`kokku
ja	ja
siis	s
minema	`min´tti
pulm	pulmaga
laulatus	laalatselle
kõige	kõige
pulm	pulma
rahvas	`rahvaga
käima	`käidi
laulatus	laalatsel
jah	jah
siis	sis
pidama	`peet´ti
siis	siss
õhtul	`õhta
siis	s
jälle	jäll
õõ	õ
pruut	pruudi
pool	puul
ja	ja
teine	teene
päev	pä
pidama	`peet´ti
peig+mees	peig+me
pool	puul
ja	ja
noh	nohh
siis	sis
seda+viisi	sedä+visi
minema	läks
see	sii
õõ	õõ
mm	mm
pikale	pikkäle
ja	ja
siis	sis
viimati	viimätti
kuidas	kudass
siis	sis
keegi	`kiigi
oma	omal
pool	puul
veel	viil
pidama	pedäs
ja	ja
nii	nii
pikk	pikkäd
olema	ol´lid
vanasti	vanasti
need	nid
pulm	pulmad
pulm	pulm
algama	`algas
alati	alatti
ikka	ikke
püha+päev	pühä+bä
hommikul	ommokko
jah	jahh
siis	sis
minema	`min´tti
püha+päev	pühä+bä
hommikul	ommokko
minema	`min´tti
laulatus	laalatselle
ja	ja
kohe	kohe
peig+mees	peig+mis
tulema	`tul´li
kohe	kohe
kodu	kodo
ja	ja
võtma	`võt´tis
peig+mees	peig+mis
see	sedä
mood	`muudi
siin	siin
ei	eij
olema	olnd
et	et
mm	mm
lahus	lahus
minema	läksid
peig+mees	peig+mis
tulema	tul´li
kodu	kodo
võtma	`võt´tis
pruut	pruudi
peal	piäl
minema	läksid
laulatus	laalatselle
jah	jahh
no	noo
õõ	õ
noh	nohh
siis	sis
mina	menu
aeg	aeg
olema	ol´lid
küll	küll
ikka	ikki
valge	`valged
kleit	kleidid
ja	ja
leier	leijerid
ja	ja
