trampima	`tramppist
ka	kaa
aga	aga
see	nee
see	ne
kündmine	`künmine
olema	oli
nii	nii
madal	madal
ja	ja
nii	nii
väike	`väikke
et	et
et	et
olema	pole
nii	nii
hästi	`easti
ühti	`ühti
kündma	`künttud
kui	kui
nüüd	nüid
nüüd	nüid
panema	`panttakse
nõnda	nönda
et	et
valge	`valge
liiv	liiv
väljas	`väljas
traktor	trakturid
ja	ja
laskma	`lasvad
nii	nii
sügavasti	sügavast
ja	ja
hästi	`easti
et	t
ikka	`ikka
ka	kaa
ader	adraga
jah	jahh
see	senne
sama	sama
ader	adraga
jah	jahh
see	sennega
mis	miss
maha	maha
panema	`pandi
ja	ja
see	senel
panema	`pantti
veel	veel
topp	topp
kurk	`kurkku
