ah	ah
olema	omm
minema	lännu
ega	egä
naad	na
mujale	muijale
ei	ei
tükkima	`tük'ki
ju	jo
olema	omm
küll	küll
ümber	`ümbre
sõõr	`syyri
kõik	kõik
tõesti	tõeste
vili	vil'läd
seal	säl
ja	ja
et	et
sinna	sinna
naad	nad
nüüd	nüüd
minema	lätsivä
minema	`lätsi
suur	suure
itk	ikkuga
võtma	`võtti
malk	malga
saama	sai
sinna	sinna
noh	nohh
ajama	aa
need	neid
hulk	ulkka
loom	`luume
sealt	sält
välja	`väl'lä
üksi	ütsi
aga	aga
õh	õh
peni	peni
peale	`pääle
ei	i
saama	saa
ajama	`aada
vihm	`vihma
sadama	`satte
õnneks	õnness
olema	ol'li
et	et
kodu	kodust
üks+ki	`üitski
välja	`väl'lä
es	ss
tulema	tule
no	no
halb	alb
ilm	ilm
olema	`ol'li
vihm	`vihma
sadama	`satte
keegi	`kiägi
es	ss
tulema	tule
vahtima	`vahtma
saama	sai
kari	karja
välja	`väl'lä
tulema	tul'lin
ära	ärä
aga	aga
mis	mess
tegema	`tettä
hirm	irm
käsi	käen
et	et
õõ	õ
noh	nohh
kui	kui
õõ	õ
kes	kell
palk	palk
olema	omm
kas	kass
võtma	võettass
palk	palgast
kinni	`kin'ni
mina	mul
miski	midägi
ei	ei
olema	ole
mis	miss
tegema	tettäss
see	sii
tegema	tettäss
ja	ja
ja	ja
mis	miss
olema	omm
see	si
olema	omm
et	et
mina	mia
saama	saan
tappa	`tappa
et	et
nüüd	nüid
mina	ma
just	just
minema	läen
et	et
miski	midägi
kõik	kõik
kuidagi	kud'agi
kui	ku
mina	ma
nüüd	nüid
ei	ei
kõnelema	kõnele
ära	ärä
kui	kui
leidma	löidäss
ütlema	ütteldäss
ega	egaa
muu	muud
ei	ei
olema	ole
kui	ku
meie	meije
oma	oma
kari	kari
et	et
ennem	ennemb
mina	maq
mina	ma
pidama	piän
ära	ärä
kõnelema	kõnelema
minema	lätsi
kodu	kodu
lige	lige
ja	ja
külm	kül'm
ja	ja
jääma	jäi
tare	`tarre
sinna	`sinnä
rehi	rehe
tare	`tarre
seisatama	saesattama
süda	südä
värisema	värisi
sees	sehen
noh	nohh
nüüd	nüid
mina	ma
teadma	tiijä
et	et
et	et
mina	ma
nahk	naha
täis	tävve
saama	saa
kuulma	kuule
kui	ku
pere+mees	pere+miss
kõnelema	kõnel
ütlema	üttel
oh	oh
sina	sa
tont	ton't
küll	kül
ometi	ontte
nii	ni
hobune	obese
olema	om
ometi	ontte
välja	`väl'lä
tulema	tulluva
koppel	`koplist
ja	ja
olema	omm
too	tolle
kesv	kesvä
kõik	kõik
sodi	sodiss
sõtkuma	`sõknuva
jah	jahh
õh	õh
õh	õh
õh	õh
et	et
too	to
küll	küll
tegema	teevä
suur	suure
kahju	kahju
siis	siss
olema	ol'li
mina	mul
hea	ää
meel	miil
küll	küll
oh	oohh
et	et
nüüd	nüid
olema	omm
hobune	obesed
süüdi	`süidi
hobune	obese
kammits	kammitsen
no	no
siis	s
naad	na
kargama	`kargava
siis	ss
tõmbama	`tõmbava
ju	jo
pahu-	pahu
pidi	pidi
kõik	kõik
jah	jahh
ja	ja
nüüd	nüit
siis	siss
minema	lätsi
õige	õge
süda	südä
juba	juba
rõõmus	`ryymsass
ja	ja
es	ess
ütlema	`ütle
ka	ka
et	et
ega	egä
enam	enämp
keegi	`kiägi
tema	tedä
nuhkima	`nuhma
ei	i
minema	lää
ja	ja
kus	kos
taa	ta
nüüd	nüt
jälgima	`jäl'gi
enam	enämm
hobune	obestel
ja	ja
kõik	kõik
jääma+ki	`jäigi
nii	nii
jälle	jälle
ja	ja
mina	mia
jälle	jälle
ilma	ilma
nahk	naha
täis	tävvelt
es	es
saama	saa
saama	sai
sügis	sügisi
siis	siss
kiitma	kittetti
peale+ki	`päälegi
mõtlema	`mõtle
kui	kui
tilluke	til'lukke
taa	ta
olema	omm
kui	kui
kui	kui
pea+hari	pää+ari
aga	aga
kõik	kõik
vili	vil'i
olema	omm
ümber	`ümbre
ringi	`rin'gi
terve	terve
ja	ja
too	toda
kuri	`kurja
töö	tüüd
es	ess
teadma	tiijä
keegi	`kiägi
äh	äh
olema	ol'li
mina	ma
pääsema	`pääsnu
noh	nohh
siis	siss
saama	sai
suur	suurembass
siis	siss
enam	enämb
es	ess
jätma	jättä
teine	tõist
silm	`sil'mä
valvama	valuma
ahah	ahahh
siis	siss
minema	lätsi
nüüd	nüit
Märt	Märdiga
ja	ja
noh	nohh
mina	mea
olema	ol'
ikka	ikki
suur	suuremp
olema	ol'li
tark	targemp
istuma	`istemme
sinna	sinnä
ema	emä
haud	avva
manu	manu
ja	ja
seal	sääl
itkema	`ikke
ja	ja
Märt	Mert
küsima	küsib
et	et
Miina	Miina
mis	mis
sina	sina
itkema	ikked
mina	ma
ütlema	`ütli
mina	ma
itkema	ikke
memm	`memme
meie	meil
ei	ei
